1. Feature (A): (493.000000)
2. Feature (G): (340.000000)
3. Feature (I): (280.000000)
4. Feature (K): (273.000000)
5. Feature (Q): (201.000000)
6. Feature (C): (183.000000)
7. Feature (M): (163.000000)
8. Feature (V): (157.000000)
9. Feature (L): (140.000000)
10. Feature (Y): (123.000000)
11. Feature (P): (116.000000)
12. Feature (E): (105.000000)
13. Feature (T): (99.000000)
14. Feature (H): (95.000000)
15. Feature (F): (90.000000)
16. Feature (S): (87.000000)
17. Feature (N): (85.000000)
18. Feature (P_L): (82.000000)
19. Feature (R): (81.000000)
20. Feature (k2): (79.000000)
21. Feature (G_N): (78.000000)
22. Feature (k1): (68.000000)
23. Feature (D): (67.000000)
24. Feature (L_N): (64.000000)
25. Feature (A_A): (60.000000)
26. Feature (T_S): (59.000000)
27. Feature (k3): (57.000000)
28. Feature (G_S): (56.000000)
29. Feature (W): (55.000000)
30. Feature (I_A): (50.000000)
31. Feature (V_K): (50.000000)
32. Feature (N_G): (49.000000)
33. Feature (A_T): (49.000000)
34. Feature (I_R): (47.000000)
35. Feature (K_K): (46.000000)
36. Feature (P_R): (45.000000)
37. Feature (T_F): (45.000000)
38. Feature (E_K): (42.000000)
39. Feature (F_L): (42.000000)
40. Feature (E_S): (40.000000)
41. Feature (R_T): (40.000000)
42. Feature (N_E): (39.000000)
43. Feature (S_Q): (38.000000)
44. Feature (T_E): (38.000000)
45. Feature (K_Y): (37.000000)
46. Feature (E_G): (36.000000)
47. Feature (V_A): (36.000000)
48. Feature (Q_G): (34.000000)
49. Feature (E_V): (34.000000)
50. Feature (L_K): (34.000000)
51. Feature (F_D): (33.000000)
52. Feature (E_T): (33.000000)
53. Feature (Y_L): (33.000000)
54. Feature (K_F): (33.000000)
55. Feature (I_K): (32.000000)
56. Feature (Q_E): (32.000000)
57. Feature (I_D): (28.000000)
58. Feature (G_H): (28.000000)
59. Feature (E_E): (28.000000)
60. Feature (I_M): (27.000000)
61. Feature (A_G): (27.000000)
62. Feature (k4): (27.000000)
63. Feature (L_L): (27.000000)
64. Feature (D_G): (26.000000)
65. Feature (K_S): (26.000000)
66. Feature (I_E): (25.000000)
67. Feature (L_V): (24.000000)
68. Feature (Y_I): (24.000000)
69. Feature (L_Q): (24.000000)
70. Feature (L_S): (24.000000)
71. Feature (I_Q): (24.000000)
72. Feature (L_G): (23.000000)
73. Feature (A_I): (22.000000)
74. Feature (E_N): (21.000000)
75. Feature (E_L): (21.000000)
76. Feature (T_G): (20.000000)
77. Feature (S_K): (19.000000)
78. Feature (A_K): (19.000000)
79. Feature (V_I): (18.000000)
80. Feature (G_D): (16.000000)
81. Feature (N_V): (16.000000)
82. Feature (Y_C): (16.000000)
83. Feature (E_F): (15.000000)
84. Feature (T_P): (13.000000)
85. Feature (R_N): (12.000000)
